Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Greed,Extreme Greed,75.0,4493.232479,17,17,0,2440.6282352941175,41490.68,0.23652647058823528,0,17,14.521732,2426.024693,2.556675,1.0,0.0,4478.710747,1,2423.468018
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Greed,Extreme Greed,77.0,1047.030992,39,28,0,2154.3915384615384,84021.26999999999,0.20038615384615385,10,29,89.144541,357.395512,0.0,0.717948717948718,0.3448275862057075,957.886451,1,357.395512
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Greed,Extreme Greed,77.0,4842.054317,124,80,0,2194.294758064516,272092.55,12.769497177419355,43,81,124.96169717000001,479.50637,0.0,0.6451612903225806,0.5308641975302087,4717.09261983,1,479.50637
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Greed,Extreme Greed,75.0,1693.493165,339,198,0,1737.369557522124,588968.28,21.914014749262535,141,198,108.05738221,82.808232,0.0,0.584070796460177,0.7121212121208526,1585.43578279,1,82.808232
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Greed,Extreme Greed,75.0,4221.156399,54,4,0,2398.331666666667,129509.91,22.171888888888887,50,4,24.25559825,4037.871978,0.0,0.07407407407407407,12.4999999996875,4196.900800750001,1,4037.871978
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,Greed,71.0,0.0,44,0,0,1519.465681818182,66856.49,22.09409090909091,44,0,1.05928092,0.0,0.0,0.0,440000000000.0,-1.05928092,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,Greed,Greed,72.0,6899.2458320000005,56,56,0,1317.0667857142857,73755.74,24.378160714285713,0,56,25.814472,536.598175,1.145525,1.0,0.0,6873.4313600000005,1,535.45265
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,Greed,Greed,72.0,0.0,46,0,0,1602.9452173913044,73735.48,22.091217391304347,46,0,1.16815524,0.0,0.0,0.0,460000000000.0,-1.16815524,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,Greed,Greed,70.0,7372.485101,55,55,0,1474.6896363636365,81107.93000000001,24.307618181818185,0,55,28.387735,742.53749,0.399212,1.0,0.0,7344.097366,1,742.138278
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,Greed,Greed,68.0,1162.002541,78,25,0,2094.719358974359,163388.11,25.753333333333334,53,25,29.90369878,256.111053,0.0,0.32051282051282054,2.1199999999915202,1132.09884222,1,256.111053
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,Greed,60.0,6352.452613,517,233,13,2792.42166344294,1443682.0,266.39394485493233,270,247,487.25693852,805.88475,-360.22304,0.4506769825918762,1.0931174089064402,5865.19567448,1,1166.10779
